,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
5714,American College of Acupuncture and Oriental Med,Houston,77063-4104,,PrivacySuppressed,PrivacySuppressed
5715,AOMA Graduate School of Integrative Medicine,Austin,78745,,PrivacySuppressed,PrivacySuppressed
5716,Arlington Medical Institute,Arlington,76006-2317,,PrivacySuppressed,PrivacySuppressed
5717,Urban College of Boston,Boston,02111-1093,,PrivacySuppressed,PrivacySuppressed
5718,American College of Medical Technology,Gardena,90248-1611,,0.557692308,0.467213115
5719,ITT Technical Institute-Henderson,Henderson,89074,,0.254716981,0.377733598
5720,Anthem College-Minnesota,Saint Louis Park,55416,,0.472468043,0.458176338
5721,Colorado Technical University-Greenwood Village,Aurora,80014,,0.326781327,0.346516008
5722,Branford Hall Career Institute-Windsor Campus,Windsor,06095,,0.573569482,0.516483517
5723,Trine University-South Bend Regional Campus,Mishawaka,46545,,0.455813954,0.404958678
5724,Heald College-Portland,Portland,97218-2852,,0.385372715,0.415478615
5725,Golf Academy of America-Orlando,Apopka,32703,,PrivacySuppressed,PrivacySuppressed
5726,Golf Academy of America-Phoenix,Chandler,85225,,PrivacySuppressed,PrivacySuppressed
5727,Everest College-Merrillville,Merrillville,46410,,0.623188406,0.553846154
5728,Empire Beauty School-Bordentown,Bordentown,08505,,PrivacySuppressed,PrivacySuppressed
5729,Empire Beauty School-Monroeville,Monroeville,15146-2229,,PrivacySuppressed,PrivacySuppressed
5730,Southern Careers Institute-San Antonio,San Antonio,78221,,0.443069307,0.364341085
5731,Virginia School of Massage,Charlottesville,22901,,PrivacySuppressed,PrivacySuppressed
5732,ITT Technical Institute-Hialeah,Hialeah,33015,,0.514018692,0.451376147
5733,CET-Sacramento,Sacramento,95828,,0.327142857,0.257062147
5734,ITT Technical Institute-Harrisburg,Harrisburg,17111,,0.386243386,0.451226158
5735,ITT Technical Institute-Tarentum,Tarentum,15084,,0.516666667,0.491634492
5736,ITT Technical Institute-Norwood,Norwood,45212,,0.422680412,0.464993395
5737,ITT Technical Institute-Strongsville,Strongsville,44136,,0.559633028,0.483552632
5738,Prism Career Institute-West Atlantic City,West  Atlantic City,08232,,0.653153153,0.712962963
5739,Everest Institute-Marietta,Marietta,30067,,0.635336415,0.581151833
5740,The Creative Center,Omaha,68164,,0.65625,0.775510204
5741,Moberly Area Technical Center,Moberly,65270,,PrivacySuppressed,PrivacySuppressed
5742,Studio Jewelers,New York,10016-4112,,PrivacySuppressed,PrivacySuppressed
5743,Praxis Institute,Miami,33135,,0.653543307,0.567901235
5744,American College of Traditional Chinese Medicine,San Francisco,94107,,,
5745,Herndon Career Center,Raytown,64138-2695,,PrivacySuppressed,PrivacySuppressed
5746,San Juan Bautista School of Medicine,Caguas,00725-4968,,,
5747,Texas Health and Science University,Austin,78704,,PrivacySuppressed,PrivacySuppressed
5748,Carver Career Center,Charleston,25306-6397,,PrivacySuppressed,PrivacySuppressed
5749,New Hampshire Institute of Art,Manchester,03104-4858,,PrivacySuppressed,PrivacySuppressed
5750,StenoTech Career Institute-Fairfield,Piscataway,08854-3756,,PrivacySuppressed,PrivacySuppressed
5751,Cayuga Onondaga BOCES-Practical Nursing Program,Auburn,13021,,PrivacySuppressed,PrivacySuppressed
5752,Clearfield County Career and Technology Center,Clearfield,16830,,PrivacySuppressed,PrivacySuppressed
5753,Cleveland Municipal School District Adult and Continuing Education,Cleveland,44102,,PrivacySuppressed,PrivacySuppressed
5754,Colegio de Cinematografia Artes y Television,Bayamon,00961,,PrivacySuppressed,PrivacySuppressed
5755,Delaware County Technical School-Practical Nursing Program,Broomall,19008,,PrivacySuppressed,PrivacySuppressed
5756,Everest College-Torrance,Torrance,90501,,0.714285714,0.705882353
5757,The Institute for Health Education,Jersey City,07306,,PrivacySuppressed,PrivacySuppressed
5758,Mid-Del Technology Center,Midwest City,73110-4825,,PrivacySuppressed,PrivacySuppressed
5759,BIR Training Center,Chicago,60659,,PrivacySuppressed,PrivacySuppressed
5760,The Youngstown College of Massotherapy,Struthers,44471-2321,,PrivacySuppressed,PrivacySuppressed
5761,New York Institute of Massage Inc,Williamsville,14221,,PrivacySuppressed,PrivacySuppressed
5762,Jolie Hair and Beauty Academy-Ludlow,Ludlow,01056,,PrivacySuppressed,PrivacySuppressed
5763,Dutchess BOCES-Practical Nursing Program,Poughkeepsie,12601-6599,,PrivacySuppressed,PrivacySuppressed
5764,Escuela Tecnica de Electricidad,Ponce,00730-4875,,PrivacySuppressed,PrivacySuppressed
5765,Institute of Technology,Clovis,93612,,0.612200436,0.666666667
5766,Garnet Career Center,Charleston,25301,,PrivacySuppressed,PrivacySuppressed
5767,Brooklyn Institute of Business Technology,Brooklyn,11201,,PrivacySuppressed,PrivacySuppressed
5768,Genesee Valley BOCES-Practical Nursing Program,Batavia,14020,,PrivacySuppressed,PrivacySuppressed
5769,The Colorado Center for Medical Laboratory Science,Denver,80218-1281,,PrivacySuppressed,PrivacySuppressed
5770,Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,23294,,PrivacySuppressed,PrivacySuppressed
5771,Herkimer County BOCES-Practical Nursing Program,Ilion,13357,,PrivacySuppressed,PrivacySuppressed
5772,International Beauty College,Garland,75040-3294,,PrivacySuppressed,PrivacySuppressed
5773,Dewey University-Hato Rey,Hato Rey,00910-9538,,PrivacySuppressed,PrivacySuppressed
5774,Cape Coral Technical College,Cape Coral,33993-2479,,PrivacySuppressed,PrivacySuppressed
5775,Massachusetts General Hospital Dietetic Internship,Boston,02114-2696,,,
5776,Mercy Hospital School of Nursing,Pittsburgh,15219-5166,,PrivacySuppressed,PrivacySuppressed
5777,American Beauty Academy,Wheaton,20902-1911,,PrivacySuppressed,PrivacySuppressed
5778,New Directions Hair Academy,Brentwood,37027-2903,,PrivacySuppressed,PrivacySuppressed
5779,Northland Career Center,Platte City,64079,,PrivacySuppressed,PrivacySuppressed
5780,Norwich Technical High School/Adult Licensed Practical Nurse Program,Norwich,06360-2425,,PrivacySuppressed,PrivacySuppressed
5781,Ocean County Vocational-Technical School,Toms River,08753,,PrivacySuppressed,PrivacySuppressed
5782,Putnam Westchester BOCES-Practical Nursing Program,Yorktown Heights,10598-4399,,PrivacySuppressed,PrivacySuppressed
5783,New England School of Radiologic Technology,Rutland,05701,,PrivacySuppressed,PrivacySuppressed
5784,Springfield Clark County Joint Vocational School,Springfield,45505,,PrivacySuppressed,PrivacySuppressed
5785,Sullivan County BOCES-Practical Nursing Program,Liberty,12754,,PrivacySuppressed,PrivacySuppressed
5786,Brightwood College-San Antonio-Ingram,San Antonio,78238,,0.644604317,0.501718213
5787,Trinity College of Puerto Rico,Ponce,00716-1111,,PrivacySuppressed,PrivacySuppressed
5788,Virginia Sewing Machines and School Center,Los Angeles,90015-4001,,0.705882353,0.535714286
5789,Vogue Beauty and Barber School,Hiram,30141-2226,,PrivacySuppressed,PrivacySuppressed
5790,West Virginia Rehabilitation Center,Institute,25112-1004,,PrivacySuppressed,PrivacySuppressed
5791,Yeshiva of the Telshe Alumni,Riverdale,10471,,PrivacySuppressed,PrivacySuppressed
5792,Northeast Technology Center-Kansas,Kansas,74347,,PrivacySuppressed,PrivacySuppressed
5793,Kenneth Shuler School of Cosmetology-Rock Hill,Rock Hill,29730,,PrivacySuppressed,PrivacySuppressed
5794,DeVry College of New York,New York,10016-5267,,0.144089733,0.132548424
5795,DeVry University-Indiana,Indianapolis,46240-2158,,PrivacySuppressed,PrivacySuppressed
5796,University of Phoenix-Washington,Tukwila,98188-8553,,0.181212833,0.189403974
